Objectives = ['-0.2997947048058', '0.0407443801510', '0.0130217383640', '0.0270728665165', '0.0278554675532', '0.0449294927517', '0.0527112000502', '0.0276579443450', '0.0830174304106', '0.0776805610715', '0.2605676078948', '0.2663809293187']
The time of execution of above program is : 720120.6121444702 ms
==========================================================================================
n_gen  |  n_eval  | n_nds  |     cv_min    |     cv_avg    |      eps      |   indicator  
==========================================================================================
     1 |      179 |    177 |  0.000000E+00 |  0.000000E+00 |             - |             -
     2 |      358 |    179 |  0.000000E+00 |  0.000000E+00 |  0.2000912434 |         ideal
     3 |      537 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0966789105 |         ideal
     4 |      716 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0680043908 |         ideal
     5 |      895 |    179 |  0.000000E+00 |  0.000000E+00 |  0.1352861500 |         ideal
     6 |     1074 |    179 |  0.000000E+00 |  0.000000E+00 |  0.1015227225 |         ideal
     7 |     1253 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0843889538 |         ideal
     8 |     1432 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0648755027 |         ideal
     9 |     1611 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0160768223 |         ideal
    10 |     1790 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0122327829 |         ideal
    11 |     1969 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0670195784 |         ideal
    12 |     2148 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0509999522 |         ideal
    13 |     2327 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0182421822 |         ideal
    14 |     2506 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0055011051 |         ideal
    15 |     2685 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0522309739 |         ideal
    16 |     2864 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0387054442 |         ideal
    17 |     3043 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0485202689 |         ideal
    18 |     3222 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0121639817 |         ideal
    19 |     3401 |    179 |  0.000000E+00 |  0.000000E+00 |  0.1078534168 |         ideal
    20 |     3580 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0283867343 |         ideal
    21 |     3759 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0214338245 |         ideal
    22 |     3938 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0048281337 |         ideal
    23 |     4117 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0186278414 |         ideal
    24 |     4296 |    179 |  0.000000E+00 |  0.000000E+00 |  0.1009029676 |         ideal
    25 |     4475 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0290913103 |         ideal
    26 |     4654 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0333335538 |         ideal
    27 |     4833 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0060540341 |         ideal
    28 |     5012 |    179 |  0.000000E+00 |  0.000000E+00 |  0.1613684719 |         nadir
    29 |     5191 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0244303389 |         ideal
    30 |     5370 |    179 |  0.000000E+00 |  0.000000E+00 |  0.2677046893 |         nadir
    31 |     5549 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0288554627 |         ideal
    32 |     5728 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0265960101 |         ideal
    33 |     5907 |    179 |  0.000000E+00 |  0.000000E+00 |  0.3883011698 |         nadir
    34 |     6086 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0158732782 |         ideal
    35 |     6265 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0072951389 |         ideal
    36 |     6444 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0258994334 |         ideal
    37 |     6623 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0034714805 |         ideal
    38 |     6802 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0137622663 |         ideal
    39 |     6981 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0533068832 |         ideal
    40 |     7160 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0116710852 |         ideal
    41 |     7339 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0033802834 |         ideal
    42 |     7518 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0094154221 |         ideal
    43 |     7697 |    179 |  0.000000E+00 |  0.000000E+00 |  0.4272835011 |         nadir
    44 |     7876 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0045829792 |         ideal
    45 |     8055 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0035741807 |         ideal
    46 |     8234 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0054861857 |         ideal
    47 |     8413 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0028884181 |         ideal
    48 |     8592 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0045720782 |         ideal
    49 |     8771 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0165109900 |         ideal
    50 |     8950 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0073987687 |         ideal
    51 |     9129 |    179 |  0.000000E+00 |  0.000000E+00 |  0.4908464918 |         nadir
    52 |     9308 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0025074248 |         ideal
    53 |     9487 |    179 |  0.000000E+00 |  0.000000E+00 |  1.3177437170 |         nadir
    54 |     9666 |    179 |  0.000000E+00 |  0.000000E+00 |  0.3051034122 |         nadir
    55 |     9845 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0031945615 |         ideal
    56 |    10024 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0112967247 |         ideal
    57 |    10203 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0088266030 |         ideal
    58 |    10382 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0025466379 |         ideal
    59 |    10561 |    179 |  0.000000E+00 |  0.000000E+00 |  2.1498693507 |         nadir
    60 |    10740 |    179 |  0.000000E+00 |  0.000000E+00 |  0.2342421218 |         nadir
    61 |    10919 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0027427401 |         ideal
    62 |    11098 |    179 |  0.000000E+00 |  0.000000E+00 |  0.2940538006 |         nadir
    63 |    11277 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0027953875 |         ideal
    64 |    11456 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0046341140 |         ideal
    65 |    11635 |    179 |  0.000000E+00 |  0.000000E+00 |  0.5773047657 |         nadir
    66 |    11814 |    179 |  0.000000E+00 |  0.000000E+00 |  0.2456799063 |         nadir
    67 |    11993 |    179 |  0.000000E+00 |  0.000000E+00 |  0.7311100441 |         nadir
    68 |    12172 |    179 |  0.000000E+00 |  0.000000E+00 |  1.0662315773 |         nadir
    69 |    12351 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0083491620 |         ideal
    70 |    12530 |    179 |  0.000000E+00 |  0.000000E+00 |  0.2023964086 |         nadir
    71 |    12709 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0034776539 |         ideal
    72 |    12888 |    179 |  0.000000E+00 |  0.000000E+00 |  0.3856240966 |         nadir
    73 |    13067 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0097791332 |         ideal
    74 |    13246 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0111068563 |         ideal
    75 |    13425 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0177535354 |         ideal
    76 |    13604 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0072558312 |         ideal
    77 |    13783 |    179 |  0.000000E+00 |  0.000000E+00 |  0.1731701852 |         nadir
    78 |    13962 |    179 |  0.000000E+00 |  0.000000E+00 |  0.5093081128 |         nadir
    79 |    14141 |    179 |  0.000000E+00 |  0.000000E+00 |  1.0410012036 |         nadir
    80 |    14320 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0027663482 |         ideal
    81 |    14499 |    179 |  0.000000E+00 |  0.000000E+00 |  0.2923091336 |         nadir
    82 |    14678 |    179 |  0.000000E+00 |  0.000000E+00 |  0.5939613918 |         nadir
    83 |    14857 |    179 |  0.000000E+00 |  0.000000E+00 |  0.5643529429 |         nadir
    84 |    15036 |    179 |  0.000000E+00 |  0.000000E+00 |  0.4769881564 |         nadir
    85 |    15215 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0864360724 |         nadir
    86 |    15394 |    179 |  0.000000E+00 |  0.000000E+00 |  0.2175888836 |         nadir
    87 |    15573 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0031778366 |         ideal
    88 |    15752 |    179 |  0.000000E+00 |  0.000000E+00 |  0.3493279363 |         nadir
    89 |    15931 |    179 |  0.000000E+00 |  0.000000E+00 |  0.8825424739 |         nadir
    90 |    16110 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0037737034 |         ideal
    91 |    16289 |    179 |  0.000000E+00 |  0.000000E+00 |  0.4461150819 |         nadir
    92 |    16468 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0053008636 |         ideal
    93 |    16647 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0172202891 |         ideal
    94 |    16826 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0025087242 |         ideal
    95 |    17005 |    179 |  0.000000E+00 |  0.000000E+00 |  0.2521702507 |         nadir
    96 |    17184 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0035936749 |         ideal
    97 |    17363 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0070310270 |         ideal
    98 |    17542 |    179 |  0.000000E+00 |  0.000000E+00 |  0.8794377391 |         nadir
    99 |    17721 |    179 |  0.000000E+00 |  0.000000E+00 |  0.6144034321 |         nadir
   100 |    17900 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0034629299 |         ideal
   101 |    18079 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0062926218 |         ideal
   102 |    18258 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0031408591 |         ideal
   103 |    18437 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0128666562 |         ideal
   104 |    18616 |    179 |  0.000000E+00 |  0.000000E+00 |  0.6688281862 |         nadir
   105 |    18795 |    179 |  0.000000E+00 |  0.000000E+00 |  0.6237574536 |         nadir
   106 |    18974 |    179 |  0.000000E+00 |  0.000000E+00 |  0.8346599151 |         nadir
   107 |    19153 |    179 |  0.000000E+00 |  0.000000E+00 |  0.5006647441 |         nadir
   108 |    19332 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0067379454 |         ideal
   109 |    19511 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0033177735 |         ideal
   110 |    19690 |    179 |  0.000000E+00 |  0.000000E+00 |  0.1261071734 |         nadir
   111 |    19869 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0039982349 |         ideal
   112 |    20048 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0048420827 |         ideal
   113 |    20227 |    179 |  0.000000E+00 |  0.000000E+00 |  3.3398988411 |         nadir
   114 |    20406 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0035684230 |         ideal
   115 |    20585 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0094620719 |         ideal
   116 |    20764 |    179 |  0.000000E+00 |  0.000000E+00 |  0.6119719140 |         nadir
